#,Speaker,Company,Stage,Conference,Location,Date
1,0xAlex,Kleros,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
2,0xPenryn,World (Worldcoin,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
3,0xSybil,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
4,1sla.eth,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
5,Agaperste,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
6,AKAKI MAMAGEISHVILI,Offchain Labs,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
7,Alan Li,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
8,Albicodes,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
9,Alec Novella,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
10,Alejandro Ranchal,,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
11,Alejandro Ranchal-Pedrosa,,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
12,Alex Cutler,Aerodrome,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
13,Alexander,Miden,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
14,Alexander Müller,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
15,Alice,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
16,AliceAndBob,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
17,Alina Tielnova,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
18,Ambre Soubiran,Kaiko,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
19,Ambroise Helaine,Bybit,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
20,Ami Nagata,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
21,Amit Chaudhary,,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
22,Amxx,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
23,Andrea Canidio,CoW Protocol,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
24,Andreas Melhede,Elata Protocol,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
25,Andres Junge,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
26,Andrew O'Neill,S&P Global,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
27,Andrey Ivasko,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
28,Andrii Bondar,Matter Labs (zkSync,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
29,Andy,The Rollup,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
30,Andy M. Lee,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
31,Angela Kreitenweis,Token Engineering Academy,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
32,Anne,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
33,Anthony Caravello,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
34,Antonio Sanso,Ethereum Foundation,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
